year,month,day,temp_category,precip_category,cloud_cover_category,wind_speed_category,sunshine_category,state1
2017,1,3,Medium,High,Medium,High,Medium,Medium-High
2017,1,4,Medium,Medium,Low,High,High,Medium-Medium
2017,1,5,Low,Medium,Low,Low,High,Low-Medium
2017,1,6,Low,Low,Medium,Low,High,Low-Low
2017,1,7,Low,High,High,Medium,Low,Low-High
2017,1,8,Medium,Low,High,Low,High,Medium-Low
2017,1,9,Medium,Medium,High,Medium,Low,Medium-Medium
2017,1,10,Medium,High,Medium,Medium,Medium,Medium-High
2017,1,11,High,Medium,Low,High,Medium,High-Medium
2017,1,12,Medium,High,Medium,High,Medium,Medium-High
2017,1,13,Medium,High,Medium,High,High,Medium-High
2017,1,14,Low,High,Low,High,Medium,Low-High
2017,1,15,Low,Medium,Low,Low,Medium,Low-Medium
2017,1,16,Low,Medium,Medium,Low,Low,Low-Medium
2017,1,17,Low,Low,Low,Low,High,Low-Low
2017,1,18,Low,Low,Low,Low,High,Low-Low
2017,1,19,Low,Low,Low,Low,High,Low-Low
2017,1,20,Low,Low,Low,Low,High,Low-Low
2017,1,21,Low,Low,Low,Low,High,Low-Low
2017,1,22,Low,Low,Low,Low,High,Low-Low
2017,1,23,Low,Low,Medium,Low,Medium,Low-Low
2017,1,24,Low,Medium,High,Low,Low,Low-Medium
2017,1,25,Low,Low,Low,Low,High,Low-Low
2017,1,26,Low,Low,Low,Low,High,Low-Low
2017,1,27,Low,Low,Low,Medium,High,Low-Low
2017,1,28,Medium,Medium,Medium,Medium,High,Medium-Medium
2017,1,29,Medium,High,Medium,Medium,High,Medium-High
2017,1,30,High,High,High,Medium,Low,High-High
2017,1,31,Medium,Low,High,Low,Low,Medium-Low
2018,1,1,High,High,Medium,High,Medium,High-High
2018,1,2,High,High,High,High,Medium,High-High
2018,1,3,High,High,Medium,High,Medium,High-High
2018,1,4,High,High,Medium,High,Low,High-High
2018,1,5,High,High,Medium,High,Medium,High-High
2018,1,6,Medium,Medium,Medium,Low,Low,Medium-Medium
2018,1,7,Medium,Medium,Medium,High,High,Medium-Medium
2018,1,8,Medium,Low,Low,High,High,Medium-Low
2018,1,9,Medium,Low,Medium,Medium,Medium,Medium-Low
2018,1,10,High,High,High,Low,Low,High-High
2018,1,11,Medium,Medium,Low,Low,Medium,Medium-Medium
2018,1,12,Medium,Low,High,Low,Low,Medium-Low
2018,1,13,Medium,Low,Low,Low,Low,Medium-Low
2018,1,14,Medium,Low,Low,Medium,High,Medium-Low
2018,1,15,High,High,High,High,Low,High-High
